station id,station code,station name,station city,station synonym,station active from,station active to,station longitude,station latitude,network id,station setting id,station type id,network code,network name,station setting name,station setting short name,station type name,station street,station street nr,station zip code
121,DEBE010,Berlin Wedding,Berlin,,1984-11-01,,13.3493,52.5430,3,1,1,BE,Berlin,städtisches Gebiet,städtisch,Hintergrund,Amrumer Str./Limburger Str.,,13353
143,DEBE032,Berlin Grunewald (3.5 m),Berlin,,1986-10-01,,13.2251,52.4732,3,6,1,BE,Berlin,ländlich stadtnah,ländlich,Hintergrund,"Jagen 91 (Waldstation, H=3.5 m)",,14193
145,DEBE034,Berlin Neukölln,Berlin,,1986-03-01,,13.4308,52.4895,3,1,1,BE,Berlin,städtisches Gebiet,städtisch,Hintergrund,Nansenstr.,10,12047
158,DEBE051,Berlin Buch,Berlin,MC077,2017-07-24,,13.4831,52.6442,3,2,1,BE,Berlin,vorstädtisches Gebiet,vorstädtisch,Hintergrund,Hobrechtsfelder Chaussee,110-113,13125
163,DEBE056,Berlin Friedrichshagen,Berlin,,1994-02-01,,13.6471,52.4477,3,6,1,BE,Berlin,ländlich stadtnah,ländlich,Hintergrund,Müggelseedamm (Wasserwerk),308,12587
168,DEBE061,Berlin Schildhornstraße,Berlin,,1994-11-01,,13.3183,52.4636,3,1,3,BE,Berlin,städtisches Gebiet,städtisch,Verkehr,Schildhornstr.,76,12163
172,DEBE065,Berlin Frankfurter Allee,Berlin,,1993-09-01,,13.4699,52.5141,3,1,3,BE,Berlin,städtisches Gebiet,städtisch,Verkehr,Frankfurter Allee,86b,10247
175,DEBE068,Berlin Mitte,Berlin,,2003-01-01,,13.4188,52.5136,3,1,1,BE,Berlin,städtisches Gebiet,städtisch,Hintergrund,Brückenstr.,6,10179
176,DEBE069,Berlin Mariendorfer Damm,Berlin,,2009-01-01,,13.3877,52.4381,3,1,3,BE,Berlin,städtisches Gebiet,städtisch,Verkehr,Mariendorfer Damm,148,12107
9480,DEBE125,Berlin Leipziger Straße (MC),Berlin,,2020-03-26,,13.3824,52.5098,3,1,3,BE,Berlin,städtisches Gebiet,städtisch,Verkehr,Leipziger Straße,5,10117
9556,DEBE126,Berlin Karl-Marx-Straße II,Berlin,,2021-06-08,,13.4297,52.4838,3,1,3,BE,Berlin,städtisches Gebiet,städtisch,Verkehr,Karl-Marx-Straße,38,12043
10347,DEBE127,Berlin Silbersteinstraße 5,Berlin,,2023-01-01,,13.4412,52.4675,3,1,3,BE,Berlin,städtisches Gebiet,städtisch,Verkehr,Silbersteinstr.,5,12051
138,DEBE027,Berlin Marienfelde,Berlin,,1989-04-01,,13.3681,52.3984,3,6,1,BE,Berlin,ländlich stadtnah,ländlich,Hintergrund,Schichauweg (UBA-Gelände),66,12307
169,DEBE062,Berlin Frohnau (3.5 m),Berlin,,1996-02-01,,13.2961,52.6533,3,6,1,BE,Berlin,ländlich stadtnah,ländlich,Hintergrund,Jägersteig (Funkturm 3.5 m),1,13465
173,DEBE066,Berlin Karlshorst,Berlin,,1999-07-01,,13.5295,52.4853,3,1,1,BE,Berlin,städtisches Gebiet,städtisch,Hintergrund,Johanna-und-Willy-Brauer-Platz,,10318
