Bundesland,start,end
Baden-Württemberg,2025-07-27,2025-09-09
Bayern,2025-07-31,2025-09-11
Berlin,2025-07-13,2025-08-25
Brandenburg,2025-07-13,2025-08-26
Bremen,2025-07-06,2025-08-16
Hamburg,2025-07-13,2025-08-23
Hessen,2025-07-24,2025-09-01
Mecklenburg-Vorpommern,2025-07-17,2025-08-26
Niedersachsen,2025-07-06,2025-08-16
Nordrhein-Westfalen,2025-06-22,2025-08-04
Rheinland-Pfalz,2025-07-24,2025-09-01
Saarland,2025-07-24,2025-09-01
Sachsen,2025-07-10,2025-08-18
Sachsen-Anhalt,2025-07-06,2025-08-16
Schleswig-Holstein,2025-07-17,2025-08-26
Thüringen,2025-07-10,2025-08-19
