date,pm10,pm25,peak_temperature,precipitation_mm
2016,20.475849174074252,7.017282226308279,13.960506860813824,2.001886470332408
2017,20.19531422988785,9.347071373591824,13.999710564330414,2.536839563054222
2018,21.04703608626939,9.746331124112514,15.580156277468562,1.6811843674570397
2019,18.316107653953306,9.269252979256779,15.127364093212192,2.1357401292193017
2020,16.654684562063203,8.294123998634994,15.19538020394155,2.025516916184143
2021,17.08681144273337,10.123356673609576,13.641747237229795,2.3698400076637336
2022,17.27829751695776,10.114311084757508,15.508899643534312,1.9844290268339262
2023,14.767615951554259,8.841226812579237,15.20642303808733,2.9061175646414847
2024,15.09352444559417,8.989131774981113,15.360715001061932,2.6676864769228295
2025,16.395342496613083,10.01073936223112,15.005171066214626,1.9530141474520215
